行政区划等级,上级行政代码,adcode,邮编,地级市,name,省,市,经度_高德坐标,纬度_高德坐标,经度_wgs84,纬度_wgs84
2,130000000000,130100000000,50000,石家庄市,石家庄,河北,石家庄,114.514859,38.042306,114.5088853,38.0416869
2,130000000000,130200000000,63000,唐山市,唐山,河北,唐山,118.180193,39.630867,118.1739149,39.62955906
2,130000000000,130300000000,66000,秦皇岛市,秦皇岛,河北,秦皇岛,119.600492,39.935385,119.5947213,39.93427683
2,130000000000,130400000000,56000,邯郸市,邯郸,河北,邯郸,114.538961,36.625657,114.5332333,36.62557775
2,130000000000,130500000000,54000,邢台市,邢台,河北,邢台,114.504844,37.070589,114.4989392,37.07011191
2,130000000000,130600000000,71000,保定市,保定,河北,保定,115.464806,38.873891,115.4584883,38.87299148
2,130000000000,130700000000,75000,张家口市,张家口,河北,张家口,114.887543,40.824418,114.8814273,40.82309177
2,130000000000,130800000000,67000,承德市,承德,河北,承德,117.96241,40.954071,117.9560841,40.95249033
2,130000000000,130900000000,61000,沧州市,沧州,河北,沧州,116.838834,38.304477,116.8330441,38.30391865
2,130000000000,131000000000,65000,廊坊市,廊坊,河北,廊坊,116.683752,39.538047,116.6778362,39.53694582
2,130000000000,131100000000,53000,衡水市,衡水,河北,衡水,115.670177,37.73892,115.6642877,37.7382783
2,140000000000,140100000000,30000,太原市,太原,山西,太原,112.548879,37.87059,112.5425796,37.87006481
2,140000000000,140200000000,37000,大同市,大同,山西,大同,113.300129,40.076762,113.2931124,40.0755622
2,140000000000,140300000000,45000,阳泉市,阳泉,山西,阳泉,113.580519,37.856971,113.5741171,37.85646808
2,140000000000,140400000000,46000,长治市,长治,山西,长治,113.116255,36.195386,113.1095902,36.19521924
2,140000000000,140500000000,48000,晋城市,晋城,山西,晋城,112.851831,35.490701,112.8457223,35.49111581
2,140000000000,140600000000,36000,朔州市,朔州,山西,朔州,112.432825,39.331595,112.4259784,39.33043351
2,140000000000,140700000000,30600,晋中市,晋中,山西,晋中,112.752694,37.687024,112.7462019,37.68634328
2,140000000000,140800000000,44000,运城市,运城,山西,运城,111.007528,35.026412,111.0017132,35.02714853
2,140000000000,140900000000,34000,忻州市,忻州,山西,忻州,112.734174,38.416663,112.7276056,38.41608215
2,140000000000,141000000000,41000,临汾市,临汾,山西,临汾,111.518976,36.088005,111.5127582,36.08812833
2,140000000000,141100000000,33000,吕梁市,吕梁,山西,吕梁,111.144319,37.518314,111.1379565,37.51753684
2,150000000000,150100000000,10000,呼和浩特市,呼和浩特,内蒙古,呼和浩特,111.74918,40.842585,111.742262,40.84113777
2,150000000000,150200000000,14000,包头市,包头,内蒙古,包头,109.840347,40.657449,109.834643,40.65630088
2,150000000000,150300000000,16000,乌海市,乌海,内蒙古,乌海,106.794249,39.655388,106.7894888,39.65444548
2,150000000000,150400000000,24000,赤峰市,赤峰,内蒙古,赤峰,118.886856,42.257817,118.8806845,42.25588154
2,150000000000,150500000000,28000,通辽市,通辽,内蒙古,通辽,122.243444,43.65289,122.2378913,43.65052792
2,150000000000,150600000000,17000,鄂尔多斯市,鄂尔多斯,内蒙古,鄂尔多斯,109.781327,39.608266,109.7756144,39.60724813
2,150000000000,150700000000,21000,呼伦贝尔市,呼伦贝尔,内蒙古,呼伦贝尔,119.765744,49.211574,119.7584019,49.20963309
2,150000000000,150800000000,15000,巴彦淖尔市,巴彦淖尔,内蒙古,巴彦淖尔,107.387657,40.743213,107.3820631,40.74176553
2,150000000000,150900000000,12000,乌兰察布市,乌兰察布,内蒙古,乌兰察布,113.132585,40.994785,113.1253181,40.99301706
2,150000000000,152200000000,10010,兴安盟,兴安,内蒙古,兴安,122.067042,46.077561,122.0608467,46.07553007
2,150000000000,152500000000,26000,锡林郭勒盟,锡林郭勒,内蒙古,锡林郭勒,116.048222,43.933454,116.0413825,43.93126746
2,150000000000,152900000000,750306,阿拉善盟,阿拉善,内蒙古,阿拉善,105.728969,38.851892,105.7246996,38.85132674
2,210000000000,210100000000,110000,沈阳市,沈阳,辽宁,沈阳,123.431474,41.805698,123.4253383,41.80326992
2,210000000000,210200000000,116000,大连市,大连,辽宁,大连,121.614682,38.914003,121.6097387,38.91322575
2,210000000000,210300000000,114000,鞍山市,鞍山,辽宁,鞍山,122.994329,41.108647,122.9888293,41.10672742
2,210000000000,210400000000,113000,抚顺市,抚顺,辽宁,抚顺,123.957208,41.880872,123.9514323,41.87871571
2,210000000000,210500000000,117000,本溪市,本溪,辽宁,本溪,123.766485,41.294175,123.7605991,41.29208446
2,210000000000,210600000000,118000,丹东市,丹东,辽宁,丹东,124.354706,40.000499,124.3489341,39.99895309
2,210000000000,210700000000,121000,锦州市,锦州,辽宁,锦州,121.127003,41.095119,121.1213602,41.09307023
2,210000000000,210800000000,115000,营口市,营口,辽宁,营口,122.235417,40.667012,122.2302453,40.66544649
2,210000000000,210900000000,123000,阜新市,阜新,辽宁,阜新,121.670323,42.021619,121.6649138,42.01950805
2,210000000000,211000000000,111000,辽阳市,辽阳,辽宁,辽阳,123.236944,41.267244,123.2312082,41.26517628
2,210000000000,211100000000,124000,盘锦市,盘锦,辽宁,盘锦,122.070714,41.119997,122.0652215,41.11790465
2,210000000000,211200000000,112000,铁岭市,铁岭,辽宁,铁岭,123.726166,42.223769,123.7201549,42.22154195
2,210000000000,211300000000,122000,朝阳市,朝阳,辽宁,朝阳,120.450372,41.573734,120.4446912,41.57144638
2,210000000000,211400000000,125000,葫芦岛市,葫芦岛,辽宁,葫芦岛,120.836932,40.711052,120.831757,40.70960314
2,220000000000,220100000000,130000,长春市,长春,吉林,长春,125.323544,43.817071,125.3170376,43.81461951
2,220000000000,220200000000,132000,吉林市,吉林,吉林,吉林,126.549576,43.837883,126.5438862,43.83562942
2,220000000000,220300000000,136000,四平市,四平,吉林,四平,124.350398,43.166419,124.3441931,43.16384236
2,220000000000,220400000000,136200,辽源市,辽源,吉林,辽源,125.143532,42.887918,125.1371348,42.88539827
2,220000000000,220500000000,134000,通化市,通化,吉林,通化,125.939697,41.728401,125.93404,41.72623588
2,220000000000,220600000000,134300,白山市,白山,吉林,白山,126.423587,41.939994,126.4177327,41.93748771
2,220000000000,220700000000,138000,松原市,松原,吉林,松原,124.825117,45.141789,124.8188296,45.13981898
2,220000000000,220800000000,137000,白城市,白城,吉林,白城,122.839024,45.619641,122.8331527,45.61773278
2,220000000000,222400000000,133000,延边朝鲜族自治州,延边,吉林,延边,129.508946,42.891253,129.5020153,42.88879342
2,230000000000,230100000000,150000,哈尔滨市,哈尔滨,黑龙江,哈尔滨,126.534967,45.803775,126.5289265,45.80179339
2,230000000000,230200000000,161000,齐齐哈尔市,齐齐哈尔,黑龙江,齐齐哈尔,123.918186,47.354348,123.911636,47.35230867
2,230000000000,230300000000,158100,鸡西市,鸡西,黑龙江,鸡西,130.969333,45.295075,130.9618769,45.29291059
2,230000000000,230400000000,154100,鹤岗市,鹤岗,黑龙江,鹤岗,130.297964,47.349916,130.29011,47.34747192
2,230000000000,230500000000,155100,双鸭山市,双鸭山,黑龙江,双鸭山,131.159133,46.646508,131.1510244,46.64428107
2,230000000000,230600000000,163000,大庆市,大庆,黑龙江,大庆,125.103784,46.589309,125.0967305,46.58720522
2,230000000000,230700000000,153000,伊春市,伊春,黑龙江,伊春,128.841147,47.727536,128.8340943,47.72526932
2,230000000000,230800000000,154000,佳木斯市,佳木斯,黑龙江,佳木斯,130.318917,46.799922,130.3111244,46.79770055
2,230000000000,230900000000,154600,七台河市,七台河,黑龙江,七台河,131.003138,45.771726,130.9954335,45.76950151
2,230000000000,231000000000,157000,牡丹江市,牡丹江,黑龙江,牡丹江,129.633168,44.551653,129.626091,44.54968652
2,230000000000,231100000000,164300,黑河市,黑河,黑龙江,黑河,126.661669,45.742347,126.6556509,45.74035821
2,230000000000,231200000000,152000,绥化市,绥化,黑龙江,绥化,126.968887,46.653845,126.9625634,46.6519434
2,230000000000,232700000000,165000,大兴安岭地区,大兴安岭,黑龙江,大兴安岭,126.661669,45.742347,126.6556509,45.74035821
2,320000000000,320100000000,210000,南京市,南京,江苏,南京,118.796877,32.060255,118.7916934,32.06233066
